"Date","Flow","log1p_Flow","site_no","TP_Estimate","TP_Upper","TP_Lower"
2010-03-18,114.001,4.74493212836325,"usgs08164000",45.9893102677559,55.049526117414935,39.353030060622835
2010-03-19,113.001,4.736198448394496,"usgs08164000",45.66773574339697,54.718129574272716,39.07837353780765
2010-03-20,159.001,5.075173815233827,"usgs08164000",65.65056069276582,78.90749777502653,56.16898914383765
2010-03-21,357.001,5.8805329864007,"usgs08164000",168.31439578128942,206.55174275576252,141.88533619525555
2010-03-22,334.001,5.814130531825066,"usgs08164000",193.13091545552217,238.6769294044464,157.48425053208874
2010-03-23,205.001,5.327876168789581,"usgs08164000",115.47892106672401,143.12120133883877,94.9179094176707
2010-03-24,155.001,5.049856007249537,"usgs08164000",76.67633345195328,94.90235918693688,64.33889006969954
2010-03-25,137.001,4.927253685157205,"usgs08164000",61.33376924730698,73.89197418265776,52.55031278885914
2010-03-26,143.001,4.969813299576001,"usgs08164000",61.7492304220495,74.31148242581489,52.762349732704166
2010-03-27,141.001,4.955827057601261,"usgs08164000",61.868372882417916,74.50469783154448,53.290949621840284
2010-03-28,131.001,4.882801922586371,"usgs08164000",57.12638844526816,68.74291726356871,49.2541193046945
2010-03-29,119.00099999999999,4.787491742782046,"usgs08164000",50.57566595974358,60.80015304752068,43.27954802702307
2010-03-30,112.001,4.727387818712341,"usgs08164000",46.365247167198866,55.59390782823584,39.64606086058831
2010-03-31,108.001,4.6913478822291435,"usgs08164000",44.348057292841645,53.17160182907895,37.94980223305097
2010-04-01,105.001,4.663439094112067,"usgs08164000",42.991076414411815,51.39926357789202,36.691045936123615
2010-04-02,104.001,4.653960350157523,"usgs08164000",42.57604699740218,50.84924388420954,36.287662567786995
2010-04-03,104.001,4.653960350157523,"usgs08164000",42.65617169310155,50.96698244991208,36.3411362295151
2010-04-04,102.001,4.634728988229636,"usgs08164000",41.90300584900451,50.11170621948932,35.70305176113204
2010-04-05,101.00099999999999,4.624972813284271,"usgs08164000",41.52076590504918,49.64084451800414,35.37083534529256
2010-04-06,101.00099999999999,4.624972813284271,"usgs08164000",41.59397708914042,49.733008803162136,35.427722434546126
2010-04-07,97.90100000000001,4.594109238628667,"usgs08164000",40.33973369260817,48.22888453346572,34.40451466691144
2010-04-08,97.101,4.585987366571318,"usgs08164000",39.98741576636111,47.69264388754716,34.0299375339015
2010-04-09,92.60099999999998,4.539030383483547,"usgs08164000",38.091015228029946,45.405461446286594,32.43710635593958
2010-04-10,91.301,4.525044141508807,"usgs08164000",37.55630097717065,44.78605379979321,31.990108515841662
2010-04-11,90.50099999999998,4.516338972281476,"usgs08164000",37.26846132076918,44.44902885841964,31.748213192512374
2010-04-12,90.301,4.514150787600923,"usgs08164000",37.23767064666555,44.39764001377982,31.70408653342966
2010-04-13,89.601,4.506454213048934,"usgs08164000",36.9871176397396,44.036702307349145,31.48435615710345
2010-04-14,88.40100000000001,4.493120682179469,"usgs08164000",36.52222495205512,43.45244909994304,31.100920315402163
2010-04-15,88.20100000000001,4.490881039585964,"usgs08164000",36.489886604003,43.39795715905326,31.073190298297597
2010-04-16,91.301,4.525044141508807,"usgs08164000",37.91577653854182,45.08844817299913,32.285784666501115
2010-04-17,156.00099999999998,5.056245805348308,"usgs08164000",67.05725339086057,80.35134894857498,57.30006827302819
2010-04-18,239.001,5.480638923341991,"usgs08164000",122.75297059739154,151.8627527187566,102.49211944238098
2010-04-19,201.001,5.308267697401205,"usgs08164000",114.69767538922112,143.98031895341592,94.67101769361471
2010-04-20,146.001,4.990432586778736,"usgs08164000",78.76288355218945,98.2479011130878,64.78523384500068
2010-04-21,121.00099999999998,4.804021044733257,"usgs08164000",58.405604431456055,70.7966948292715,49.53104710938886
2010-04-22,106.00099999999999,4.672828834461906,"usgs08164000",48.25095293249319,58.03133815297656,41.034273921787715
2010-04-23,99.101,4.6061696863211745,"usgs08164000",43.611034348919866,52.492025796917254,37.24973908576535
2010-04-24,95.001,4.564348191467836,"usgs08164000",41.22157214709211,49.43908315107443,35.17035186534153
2010-04-25,89.001,4.499809670330265,"usgs08164000",38.23268622841184,45.770898449830696,32.61398681526604
2010-04-26,85.40100000000001,4.45898767581001,"usgs08164000",36.18937771853479,43.24250057798973,30.832024631572022
2010-04-27,83.101,4.432006566978902,"usgs08164000",35.076725968429784,41.78333828035979,29.910559802815584
